title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin
PetitCure: Precure Fairies Season 3,,ONA,17.0,,ORIGINAL,SPRING,Fantasy;Slice of Life,Fairy;Chibi;Animals;Primarily Animal Cast;No Dialogue,,2026-03-26,JP
Hebi to Kumo,,OVA,1.0,,OTHER,WINTER,Hentai,Nakadashi;Fellatio;Cunnilingus;Office Lady;Irrumatio;Masturbation;Ashikoki;Nudity,57.0,2026-03-27,JP
Phantom Alchemia: Sylvia no Dokidoki Sakusei Toshi Keikaku,,OVA,1.0,,OTHER,WINTER,Fantasy;Hentai,,51.0,2026-03-27,JP
Tensei Shitara Slime Datta Ken 4th Season,That Time I Got Reincarnated as a Slime Season 4,TV,15.0,24.0,LIGHT_NOVEL,SPRING,Action;Adventure;Comedy;Fantasy,Kingdom Management;Isekai;Magic;Ensemble Cast;Crossdressing;Demons;Dungeon;Skeleton;Medieval;Politics,82.0,2026-04-03,JP
Yomi no Tsugai,Daemons of the Shadow Realm,TV,24.0,24.0,MANGA,SPRING,Action;Adventure;Comedy;Fantasy;Supernatural,Shounen;Male Protagonist;Youkai;Archery;Proxy Battle;Creature Taming;Rural;Anachronism;Urban Fantasy;Twins,78.0,2026-04-04,JP
Mairimashita! Iruma-kun 4,Welcome to Demon School! Iruma-kun Season 4,TV,24.0,25.0,MANGA,SPRING,Comedy;Fantasy;Supernatural,School;Demons;Magic;Isekai;Male Protagonist;Shounen;Primarily Teen Cast;Monster Boy;Monster Girl;Ensemble Cast,80.0,2026-04-04,JP
Honzuki no Gekokujou: Ryoushu no Youjo,Ascendance of a Bookworm: Adopted Daughter of an Archduke,TV,14.0,24.0,LIGHT_NOVEL,SPRING,Drama;Fantasy;Slice of Life,Coming of Age;Writing;Magic;Female Protagonist;Isekai;Politics;Religion;Gods;Conspiracy;Josei,76.0,2026-04-04,JP
MAO,MAO,TV,26.0,25.0,MANGA,SPRING,Drama;Mystery;Romance;Supernatural,Historical;Female Protagonist;Exorcism;Shounen;Male Protagonist;Youkai;Demons;Isekai;Primarily Teen Cast;Natural Disaster,65.0,2026-04-04,JP
Oshiri Dandy the Young,,TV,1.0,,OTHER,SPRING,,,,2026-04-04,JP
Rilakkuma,RILAKKUMA,TV_SHORT,16.0,1.0,OTHER,SPRING,Fantasy;Slice of Life,Animals,60.0,2026-04-04,JP
Onegai AiPri,,TV,16.0,,OTHER,SPRING,Music,Idol;Primarily Female Cast;Female Protagonist;Advertisement;Primarily Teen Cast;Kids;Henshin;CGI;School;Virtual World,54.0,2026-04-05,JP
LIAR GAME,LIAR GAME,TV,16.0,24.0,MANGA,SPRING,Drama;Psychological,Gambling;Female Protagonist;Seinen;Male Protagonist;Primarily Adult Cast;Coming of Age;Death Game;Transgender;Conspiracy;Ensemble Cast,61.0,2026-04-07,JP
Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,Re:ZERO -Starting Life in Another World- Season 4,TV,19.0,24.0,LIGHT_NOVEL,SPRING,Action;Adventure;Drama;Fantasy;Psychological;Romance;Thriller,Isekai;Memory Manipulation;Male Protagonist;Time Loop;Dissociative Identities;Magic;Amnesia;Witch;Gore;Cult,90.0,2026-04-08,JP
Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 4th Season,,ONA,11.0,3.0,LIGHT_NOVEL,SPRING,Adventure;Comedy;Fantasy,Medieval;Chibi;Flash;Maids;Parody,67.0,2026-04-08,JP
Kami no Shizuku,The Drops of God,TV,24.0,24.0,MANGA,SPRING,Drama;Mystery;Slice of Life,Bar;Seinen;Male Protagonist;Food;CGI,54.0,2026-04-10,JP
Odekake Kozame Season 2,Little Shark's Day Out Season 2,TV_SHORT,72.0,2.0,MANGA,SPRING,Slice of Life,Animals;Primarily Animal Cast;Iyashikei,,2026-04-12,JP
Shou 3 Ashibe QQ Goma-chan,,TV_SHORT,15.0,,MANGA,SPRING,Comedy;Slice of Life,,,2026-04-12,JP
Kuroneko to Majo no Kyoushitsu,The Classroom of the Black Cat and a Witch,TV,15.0,24.0,MANGA,SPRING,Fantasy,Magic;Female Protagonist;Animals;Heterosexual;Witch;Teacher;Astronomy;Coming of Age;Curses;Shapeshifting,63.0,2026-04-12,JP
Kumarba Season 3,,TV_SHORT,15.0,3.0,OTHER,SPRING,Action;Comedy,Kids;Male Protagonist;Animals;Primarily Animal Cast;Anthropomorphism,,2026-04-12,JP
Candy Caries,,TV_SHORT,24.0,3.0,ORIGINAL,SPRING,Comedy,Stop Motion;Mixed Media;Primarily Female Cast;Surreal Comedy;Aliens,56.0,2026-04-15,JP
Todo no Tsumari,,OVA,1.0,,ORIGINAL,SPRING,Hentai,Fellatio;Public Sex;Nakadashi;Rape;Large Breasts,52.0,2026-04-24,JP
