title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin
Makai Tenshi Djibril 3,,OVA,2.0,30.0,VISUAL_NOVEL,FALL,Fantasy;Hentai;Supernatural,Angels;Female Harem;School;Tentacles,54.0,2009-09-25,JP
Kagirohi: Shaku Kei,,OVA,2.0,28.0,VISUAL_NOVEL,FALL,Hentai;Sci-Fi,Tentacles;Rape;Defloration;Demons;Nakadashi;Anal Sex;Large Breasts;Masturbation;Revenge;Fellatio,53.0,2009-09-25,JP
Kidou Senshi Gundam ZZ: GUNDAM FRAG.,Mobile Suit Gundam ZZ: Gundam Frag.,OVA,2.0,4.0,OTHER,FALL,Action;Mecha;Sci-Fi,Military;CGI,49.0,2009-09-25,JP
Yokorenbo: Immoral Mother,,OVA,2.0,30.0,VISUAL_NOVEL,FALL,Hentai,Incest;Inseki;Netori;MILF;Rape;Large Breasts;Blackmail;Female Protagonist;Male Protagonist;Bisexual,61.0,2009-09-25,JP
Higashi no Eden Soushuuhen: Air Communication,Eden of The East Compilation: Air Communication,MOVIE,1.0,123.0,ORIGINAL,FALL,Action;Comedy;Mystery;Romance;Sci-Fi;Thriller,Crime;Primarily Adult Cast;Terrorism;Amnesia;Hikikomori,70.0,2009-09-26,JP
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,,ONA,10.0,8.0,VISUAL_NOVEL,FALL,Comedy;Romance,Yuri;Female Protagonist;Primarily Female Cast;School;Tsundere,58.0,2009-09-26,JP
Asura Cryin' 2,Asura Cryin' 2,TV,13.0,24.0,LIGHT_NOVEL,FALL,Action;Mecha;Supernatural,Magic;Ghost;School Club;CGI;School;Super Robot;Real Robot,68.0,2009-10-01,JP
TO,TO,OVA,2.0,43.0,MANGA,FALL,Action;Sci-Fi,Episodic;Full CGI;Space;Aliens;Seinen,56.0,2009-10-02,JP
Tatakau Shisho: The Book of Bantorra,The Book of Bantorra,TV,27.0,24.0,LIGHT_NOVEL,FALL,Action;Fantasy,Super Power;Primarily Adult Cast;Conspiracy;Cult;Ensemble Cast;Female Protagonist;Urban Fantasy;Work;Gods;Anti-Hero,67.0,2009-10-02,JP
Kämpfer,Kämpfer,TV,12.0,24.0,LIGHT_NOVEL,FALL,Action;Comedy;Ecchi;Romance,Henshin;Gender Bending;School;Female Harem;Male Protagonist;Primarily Female Cast;Musical Theater;Meta;Kemonomimi;Idol,57.0,2009-10-02,JP
Nyan Koi!,Nyan Koi!,TV,12.0,24.0,MANGA,FALL,Comedy;Romance;Slice of Life;Supernatural,Animals;Female Harem;Nekomimi;Male Protagonist;Love Triangle;Tsundere;School;Nudity;Gyaru;Seinen,67.0,2009-10-02,JP
Seitokai no Ichizon,Student Council's Discretion,TV,12.0,24.0,LIGHT_NOVEL,FALL,Comedy,Parody;School;Female Harem;Otaku Culture;Primarily Teen Cast;Primarily Female Cast;Male Protagonist;School Club;Meta;Tomboy,70.0,2009-10-03,JP
Tentai Senshi Sunred 2,,TV_SHORT,26.0,13.0,MANGA,FALL,Comedy,Tokusatsu;Superhero;Ensemble Cast;Parody;Super Power;Henshin,73.0,2009-10-03,JP
WHITE ALBUM 2nd Season,,TV,13.0,25.0,VISUAL_NOVEL,FALL,Drama;Music;Romance,Heterosexual;Female Harem;Idol;Kuudere;Love Triangle;Male Protagonist;Urban,63.0,2009-10-03,JP
Shugo Chara! Party!,,TV,25.0,25.0,MANGA,FALL,Comedy;Mahou Shoujo;Romance,Magic;School;Shoujo;Idol;Kuudere;School Club;Fashion,64.0,2009-10-03,JP
Tegami Bachi,Letter Bee,TV,25.0,20.0,MANGA,FALL,Adventure;Fantasy;Supernatural,Guns;Male Protagonist;Writing;Shounen;Animals;Travel;Steampunk;Work;CGI;Disability,72.0,2009-10-03,JP
Seiken no Blacksmith,The Sacred Blacksmith,TV,12.0,24.0,LIGHT_NOVEL,FALL,Action;Adventure;Fantasy,Swordplay;Demons;Magic;Nudity;Female Protagonist;Male Protagonist;Heterosexual;Yuri,62.0,2009-10-03,JP
Tales of Vesperia: The First Strike,,MOVIE,1.0,110.0,VIDEO_GAME,FALL,Action;Adventure;Fantasy,Magic;Male Protagonist;Military;Twins,72.0,2009-10-03,JP
Kikansha Yaemon,,MOVIE,1.0,31.0,OTHER,FALL,Fantasy,Kids;Trains;Full CGI,73.0,2009-10-03,JP
Kotatsu Neko,Table Cat,TV_SHORT,26.0,5.0,OTHER,FALL,Comedy,Episodic;Animals,53.0,2009-10-03,JP
Toaru Kagaku no Railgun,A Certain Scientific Railgun,TV,24.0,24.0,MANGA,FALL,Action;Fantasy;Sci-Fi,Super Power;Urban;Primarily Female Cast;Female Protagonist;Urban Fantasy;Yuri;Robots;Bisexual;Tomboy;School,75.0,2009-10-03,JP
Inuyasha: Kanketsu-hen,InuYasha: The Final Act,TV,26.0,24.0,MANGA,FALL,Action;Adventure;Comedy;Fantasy;Romance,Historical;Youkai;Demons;Swordplay;Female Protagonist;Shounen;Magic;Shapeshifting;Tsundere;Orphan,80.0,2009-10-04,JP
Yumeiro Pâtissière,Yumeiro Patissiere,TV,50.0,24.0,MANGA,FALL,Comedy;Fantasy,Food;School;Female Protagonist;Cute Girls Doing Cute Things;Shoujo;Primarily Child Cast;Fairy;Kids;Fairy Tale,75.0,2009-10-04,JP
Kanokon: Manatsu no Dai Shanikusai,,OVA,2.0,25.0,OTHER,FALL,Ecchi;Romance;Slice of Life,Kemonomimi;Female Harem;Nudity;Shounen;Kuudere;Monster Girl,59.0,2009-10-04,JP
Miracle☆Train: Oedo-sen e Youkoso,Miracle Train: Welcome to the Oedo Line,TV,13.0,23.0,ORIGINAL,FALL,Fantasy,Trains;Primarily Male Cast;Educational;Urban;Memory Manipulation;Cute Boys Doing Cute Things;Age Regression;Amnesia,58.0,2009-10-05,JP
Anyamal Tantei Kiruminzoo,,TV,50.0,23.0,ORIGINAL,FALL,Comedy;Fantasy;Mahou Shoujo,Kemonomimi;Magic;Animals;Ojou-sama;Kids;Henshin;Environmental;Female Protagonist;Primarily Child Cast;Detective,67.0,2009-10-05,JP
Natsu no Arashi!: Akinai-chuu,Natsu no Arashi! Season 2,TV,13.0,24.0,MANGA,FALL,Comedy;Fantasy;Romance,Ghost;Crossdressing,70.0,2009-10-05,JP
Shin Koihime†Musou: Otome Ryouran☆Sangokushi Engi,Shin Koihime Musou,TV,12.0,25.0,VISUAL_NOVEL,FALL,Comedy;Ecchi;Fantasy,Nudity;Historical;Female Protagonist;Primarily Female Cast;War;Slapstick;Idol;Feet,64.0,2009-10-05,JP
Sora no Otoshimono,Heaven's Lost Property,TV,13.0,24.0,MANGA,FALL,Comedy;Ecchi;Romance;Sci-Fi;Slice of Life;Supernatural,Rural;School Club;Slavery;School;Aliens;Angels;Male Protagonist;Shounen;Female Harem;Kuudere,67.0,2009-10-05,JP
Kobato.,Kobato,TV,24.0,24.0,MANGA,FALL,Comedy;Drama;Fantasy;Romance,Female Protagonist;Shoujo;Magic;Episodic;Heterosexual;Iyashikei;Crossover;College;Anthropomorphism,76.0,2009-10-06,JP
Kyou no Go no Ni: Takarabako,,OVA,1.0,28.0,OTHER,FALL,Comedy;Ecchi;Romance,School,68.0,2009-10-06,JP
Nogizaka Haruka no Himitsu: Purezza,Haruka Nogizaka's Secret: Purezza,TV,12.0,24.0,LIGHT_NOVEL,FALL,Comedy;Ecchi;Romance,School;Heterosexual;Otaku Culture;Butler;Idol;Maids;Nudity;Love Triangle;Parody;Kuudere,68.0,2009-10-06,JP
Cofun Gal no Coffy Campus Life,Tumulus Gal Coffy Campus Life,TV_SHORT,11.0,10.0,OTHER,FALL,Comedy,,53.0,2009-10-07,JP
Himitsukessha Taka no Tsume Countdown,,TV_SHORT,11.0,14.0,OTHER,FALL,Comedy,Parody;Super Power;Superhero;Conspiracy;Ghost;Flash,44.0,2009-10-07,JP
Cheburashka Arere?,,TV_SHORT,26.0,3.0,OTHER,FALL,Comedy,Animals,56.0,2009-10-07,JP
11eyes,11eyes,TV,12.0,25.0,VISUAL_NOVEL,FALL,Action;Ecchi;Supernatural,Super Power;Yandere;Urban Fantasy;Demons;Gore;Swordplay;Ensemble Cast;Memory Manipulation;Magic;Male Protagonist,53.0,2009-10-07,JP
Kimi ni Todoke,Kimi ni Todoke: From Me to You,TV,25.0,23.0,MANGA,FALL,Comedy;Drama;Romance;Slice of Life,Shoujo;Female Protagonist;Coming of Age;School;Primarily Teen Cast;Heterosexual;Kuudere;Love Triangle;Bullying;Unrequited Love,79.0,2009-10-07,JP
Hyakko OVA,,OVA,1.0,9.0,MANGA,FALL,Comedy,Food;Restaurant,63.0,2009-10-08,JP
Sasameki Koto,Whispered Words,TV,13.0,24.0,MANGA,FALL,Comedy;Romance,Yuri;Coming of Age;School;Primarily Female Cast;Primarily Teen Cast;Female Protagonist;Love Triangle;LGBTQ+ Themes;Unrequited Love;Crossdressing,67.0,2009-10-08,JP
Bakunyuu BOMB,,OVA,3.0,17.0,ORIGINAL,FALL,Hentai,MILF;Large Breasts;Watersports;Group Sex;Boobjob;Fellatio;Lactation;Threesome;Anal Sex;Nakadashi,54.0,2009-10-09,JP
